"","V1","V2"
"127","OML.L","9.69e+09"
"128","PETS.L","1.24e+09"
"129","PFC.L","2.95e+09"
"130","PFG.L","4.14e+09"
"131","PFZ.L","2.123e+11"
"132","PHNX.L","1.86e+09"
"133","PNN.L","3.68e+09"
"134","POLY.L","5.02e+09"
"135","PRU.L","3.551e+10"
"136","PSON.L","7.06e+09"
"137","PTEC.L","2.87e+09"
"138","PZC.L","1.42e+09"
"139","QQ.L","1.33e+09"
"140","RB.L","5.235e+10"
"141","RBS.L","2.196e+10"
"142","RDSB.L","1.608e+11"
"143","RDW.L","1.25e+09"
"144","REL.L","2.989e+10"
"145","RGU.L","2.88e+09"
"146","RIGD.IL","9.842355e+13"
"147","RIO.L","4.4e+10"
"148","RMG.L","5.15e+09"
"149","ROR.L","1.81e+09"
"150","RPC.L","1.64e+09"
"151","RR.L","1.451e+10"
"152","RRS.L","7.82e+09"
"153","RSA.L","5.15e+09"
"154","RSW.L","1.94e+09"
"155","RTO.L","4e+09"
"156","RYA.L","1.505e+10"
"157","SAB.L","7.035e+10"
"158","SAGA.L","2.39e+09"
"159","SBRY.L","4.64e+09"
"160","SDR.L","7.5e+09"
"161","SDRC.L","5.58e+09"
"162","SGE.L","7.92e+09"
"163","SGP.L","1.29e+09"
"164","SHB.L","2.66e+09"
"165","SHP.L","3.462e+10"
"166","SKY.L","1.452e+10"
"167","SL.L","6.96e+09"
"168","SMDS.L","3.94e+09"
"169","SMIN.L","5.35e+09"
"170","SMWH.L","1.77e+09"
"171","SN.L","1.122e+10"
"172","SPD.L","1.78e+09"
"173","SPI.L","1.38e+09"
"174","SPX.L","3.21e+09"
"175","SRP.L","1.41e+09"
"176","SSE.L","1.528e+10"
"177","SSPG.L","1.57e+09"
"178","STAN.L","2.05e+10"
"179","STJ.L","4.96e+09"
"180","SVS.L","1.03e+09"
"181","SVT.L","5.68e+09"
"182","SXS.L","2.33e+09"
"183","TALK.L","2.07e+09"
"184","TATE.L","3.43e+09"
"185","TCG.L","1.01e+09"
"186","TED.L","1.1e+09"
"187","TLW.L","2.13e+09"
"188","TPK.L","3.87e+09"
"189","TSCO.L","1.294e+10"
"190","TTA.L","1.0291e+11"
"191","TW.L","4.99e+09"
"192","TYT.L","1.816445e+13"
"193","UBM.L","2.68e+09"
"194","ULE.L","1.21e+09"
"195","ULVR.L","1.0238e+11"
"196","UTG.L","1.38e+09"
"197","UU.L","6.73e+09"
"198","VCT.L","1.32e+09"
"199","VED.L","1.52e+09"
"200","VM.L","1.26e+09"
"201","VOD.L","6.243e+10"
"202","VSVS.L","1.02e+09"
"203","WEIR.L","3.36e+09"
"204","WG.L","2.7e+09"
"205","WKP.L","1.06e+09"
"206","WMH.L","2.76e+09"
"207","WOS.L","1.093e+10"
"208","WPP.L","2.249e+10"
"209","WTB.L","7.41e+09"
"210","ZPLA.L","1.25e+09"
