"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
5339.25,5657.75,5846.35,5943.75,5813,5770.9,5665.85,6080.4,5771.5,5872.25,6213.35,6290.15,6192.6,6077.25,6279.15,6585,6784.7,6781.3,6815.75
375.255,384.98,362.6,349.74,347.995,351.14,353.89,349.57,330.265,321.16,324.975,309.91,297.105,273.4,241.03,229.305,226.3,226.255,232.72
2188.05,2219.825,2126.475,2114.025,2075.55,1938.475,1848.125,1838.7,1688.075,1617.575,1778.5,1662.15,1524.725,1411,1528.625,1678.55,1746.075,1739.05,1736.375
275.9,325.94,350.765,366.265,394.53,434.765,452.25,462.25,476.225,470.025,452.885,442,457.375,440.24,423.345,409.105,385.935,389,401.625
1110.85,1170.8,1142.45,1156.35,1096.35,1082.15,1062.85,1100.55,1051.75,1090.95,1152.7,1173.9,1174,1170.85,1191.85,1252.4,1295.2,1227.1,1237.65
205.46,215.87,227.05,233.24,250.685,256.37,261.845,276.88,279.815,307.32,325.145,341.235,333.225,300.075,278.405,298.2,310.26,298.635,309.55
2916.15,3088.875,2948.225,2825.3,2963.125,2844.025,2639.925,2518.4,2327.65,2285.625,2453.6,2257.3,1952.9,1725.475,1822.55,1995.975,2100.675,2073.575,1963.925
429.485,437.83,432.625,445.075,472.255,510.9,513.5,503.515,466.255,460.235,449.675,465.785,450.655,440.325,441.125,460.7,480.665,495.365,526.875
2334.1,2379.9,2505.9,1161.155,244.88,252.47,230.455,213.52,205.225,183.705,184.91,180.33,179.98,166.605,159.54,179.8,174,188.41,194.98
494.7415,527.25015,536.1942,551.4171,564.6246,583.0453,614.44165,621.9258,606.5404,596.832,593.95875,654.9211,748.7856,754.05245,707.175,734.325,759.075,752.75,808.975
872.625,919.9,970.875,967.5,1026.15,983.625,845.95,779.85,745.4,698.175,694.775,599.45,578.075,550.025,588.55,693.05,671.7,653.825,612.275
5123.7,5232.7,4787.1,4872.8,4904.85,4659.05,4297.3,3875.25,3944.45,3874.4,4461.1,4017.35,4148.35,4418.15,5867.35,6380.75,6506,6161,6276
444.14,448.62,425.665,428.58,427.765,429.975,409.13,484.58,507.135,442.115,413.175,435.28,428.63,406.23,400.495,452.945,472.555,473.81,473.41
2267.5,2460.2,2516.3,2504.6,2515.3,2451.65,2265.65,2146.2,2142.1,2003.8,1935.1,1864.35,1900.1,1743.95,1715.95,1844.8,1866.45,1920.65,1974.2
121.265,124.895,137.79,137.84,140.485,149.52,149.66,148.665,148.735,147.625,149.2,155.675,157.395,154.31,157.89,166.1,177.51,177.345,181.69
988.17485,989.60025,1045.92455,1107.351,1101.94995,1155.8494,1216.1996,1255.74985,1252.74925,1335.3489,1340.8002,1439.15,1475.9,1460.5,1372.85,1375.75,1347,1315.45,1359.35
3368.05,3567.6,3679.475,3612.4,3544.225,3446.125,3378.625,3410.05,3070.2,3497.7,3919.575,4016.225,4042.9,4107.025,4163.5,4224.4,4243.625,4217.125,4289.35
159.105,186.01,178.795,184.84,198.195,211.13,217.68,214.22,204.88,203.38,203.515,210.39,200.65,199.015,184.825,186.615,197.455,209.87,207.415
252.19,267.645,270.385,268.855,270.06,255.33,265.225,264.505,242.495,239.81,267.915,255.475,252.775,241.24,248.435,270.485,284.205,267.38,249.245
2703.15,2967.45,3177.9,3282.85,3306.2,3319.05,3183.75,3129.6,2832.15,2845.5,2888.95,2970.9,2886.8,2679.05,2497.5,2690.25,2597.2,2520.15,2603.1
2071.1,2260.7,2428.3,2496.35,2508,2523.85,2425.65,2422.6,2199.3,2221,2219.75,2268.25,2188.6,2037.35,1923.55,2052.7,1973.15,1932.1,1975.25
469.56,477.515,480.89,473.57,521.975,558.925,524.375,525.675,509.29,508.805,534.2,555.875,596.1,576.925,586,601.3,624.775,593.275,612.6
885.6,1009.575,923.75,957.8,1042.125,1148.3,1271.75,1428.7,1474.65,1352.8,1436.55,1614.2,1649.25,1537.85,1379.75,1387.1,1358.85,1307.7,1427.95
